"BehaviorSpace results (NetLogo 6.0)"
"diffusion.nlogo"
"experiment"
"04/08/2019 21:48:53:577 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","rewiring-proportion","infect-seed-neighbors","number-of-nodes","average-node-degree","threshold-value","[step]","count turtles with [color = green]"
"6","0","true","500","4","1","0","5"
"2","0","true","500","4","1","0","5"
"5","0","true","500","4","1","0","5"
"3","0","true","500","4","1","0","5"
"4","0","true","500","4","1","0","5"
"3","0","true","500","4","1","1","9"
"2","0","true","500","4","1","1","9"
"4","0","true","500","4","1","1","9"
"5","0","true","500","4","1","1","9"
"6","0","true","500","4","1","1","9"
"3","0","true","500","4","1","2","13"
"2","0","true","500","4","1","2","13"
"4","0","true","500","4","1","2","13"
"5","0","true","500","4","1","2","13"
"6","0","true","500","4","1","2","13"
"2","0","true","500","4","1","3","17"
"3","0","true","500","4","1","3","17"
"4","0","true","500","4","1","3","17"
"5","0","true","500","4","1","3","17"
"3","0","true","500","4","1","4","21"
"6","0","true","500","4","1","3","17"
"2","0","true","500","4","1","4","21"
"4","0","true","500","4","1","4","21"
"3","0","true","500","4","1","5","25"
"5","0","true","500","4","1","4","21"
"2","0","true","500","4","1","5","25"
"6","0","true","500","4","1","4","21"
"8","0","true","500","4","1","0","5"
"7","0","true","500","4","1","0","5"
"3","0","true","500","4","1","6","29"
"4","0","true","500","4","1","5","25"
"5","0","true","500","4","1","5","25"
"2","0","true","500","4","1","6","29"
"3","0","true","500","4","1","7","33"
"6","0","true","500","4","1","5","25"
"4","0","true","500","4","1","6","29"
"5","0","true","500","4","1","6","29"
"3","0","true","500","4","1","8","37"
"2","0","true","500","4","1","7","33"
"5","0","true","500","4","1","7","33"
"3","0","true","500","4","1","9","41"
"6","0","true","500","4","1","6","29"
"4","0","true","500","4","1","7","33"
"5","0","true","500","4","1","8","37"
"2","0","true","500","4","1","8","37"
"7","0","true","500","4","1","1","9"
"3","0","true","500","4","1","10","45"
"4","0","true","500","4","1","8","37"
"5","0","true","500","4","1","9","41"
"6","0","true","500","4","1","7","33"
"3","0","true","500","4","1","11","49"
"8","0","true","500","4","1","1","9"
"2","0","true","500","4","1","9","41"
"4","0","true","500","4","1","9","41"
"5","0","true","500","4","1","10","45"
"3","0","true","500","4","1","12","53"
"7","0","true","500","4","1","2","13"
"2","0","true","500","4","1","10","45"
"6","0","true","500","4","1","8","37"
"8","0","true","500","4","1","2","13"
"4","0","true","500","4","1","10","45"
"5","0","true","500","4","1","11","49"
"3","0","true","500","4","1","13","57"
"2","0","true","500","4","1","11","49"
"6","0","true","500","4","1","9","41"
"7","0","true","500","4","1","3","17"
"5","0","true","500","4","1","12","53"
"3","0","true","500","4","1","14","61"
"4","0","true","500","4","1","11","49"
"2","0","true","500","4","1","12","53"
"8","0","true","500","4","1","3","17"
"6","0","true","500","4","1","10","45"
"5","0","true","500","4","1","13","57"
"3","0","true","500","4","1","15","65"
"2","0","true","500","4","1","13","57"
"7","0","true","500","4","1","4","21"
"5","0","true","500","4","1","14","61"
"2","0","true","500","4","1","14","61"
"5","0","true","500","4","1","15","65"
"8","0","true","500","4","1","4","21"
"5","0","true","500","4","1","16","69"
"2","0","true","500","4","1","15","65"
"7","0","true","500","4","1","5","25"
"5","0","true","500","4","1","17","73"
"2","0","true","500","4","1","16","69"
"8","0","true","500","4","1","5","25"
"5","0","true","500","4","1","18","77"
"2","0","true","500","4","1","17","73"
"7","0","true","500","4","1","6","29"
"5","0","true","500","4","1","19","81"
"4","0","true","500","4","1","12","53"
"6","0","true","500","4","1","11","49"
"3","0","true","500","4","1","16","69"
"2","0","true","500","4","1","18","77"
"5","0","true","500","4","1","20","85"
"8","0","true","500","4","1","6","29"
"2","0","true","500","4","1","19","81"
"5","0","true","500","4","1","21","89"
"7","0","true","500","4","1","7","33"
"5","0","true","500","4","1","22","93"
"2","0","true","500","4","1","20","85"
"8","0","true","500","4","1","7","33"
"5","0","true","500","4","1","23","97"
"7","0","true","500","4","1","8","37"
"2","0","true","500","4","1","21","89"
"5","0","true","500","4","1","24","101"
"4","0","true","500","4","1","13","57"
"2","0","true","500","4","1","22","93"
"8","0","true","500","4","1","8","37"
"5","0","true","500","4","1","25","105"
"7","0","true","500","4","1","9","41"
"6","0","true","500","4","1","12","53"
"3","0","true","500","4","1","17","73"
